Organization Name,Funding Type,Money Raised (in USD),Announced Date,Equity Only Funding,Lead Investors,Investor Names
Northvolt,Venture - Series Unknown,13718125,2019-01-04,Yes,,"Boundary Holding, Vargas Holdings, Vattenfall"
Northvolt,Debt Financing,64554207,2018-02-23,No,European Investment Bank,European Investment Bank
Northvolt,Venture - Series Unknown,11820261,2018-05-15,Yes,Siemens,Siemens
Northvolt,Debt Financing,400000000,2019-06-12,No,European Investment Bank,European Investment Bank
Revel,Debt Financing,60000000,2025-02-10,No,NY Green Bank,NY Green Bank
Revel,Series B,126000000,2022-02-22,Yes,BlackRock,"BlackRock, Bossa Invest, Broadscale, Goodyear Ventures, Knighthead Capital Management, LM Ventures, Maniv Mobility, Obsidian Ventures, Shell Ventures, St Baker’s Energy Innovation Fund, Toyota Ventures"
Revel,Seed,4000000,2018-09-01,Yes,Maniv Mobility,"Austin Ogilvie, Blue Collective, Justin Mateen, Maniv Mobility"
Revel,Series A,34000000,2019-10-10,Yes,Ibex Investors,"Blue Collective, Evolution VC Partners, Ibex Investors, LaunchCapital, Maniv Mobility, Toyota Ventures"
Revel,Debt Financing,50000000,2022-11-15,No,BlackRock,BlackRock
Skeleton Technologies,Series E,113534942,2023-10-13,Yes,"Marubeni, Siemens Financial Services","CBMM, Marubeni, Siemens Financial Services"
Skeleton Technologies,Series B,11036396,2015-06-03,Yes,Harju Elekter Group,"EIT InnoEnergy, Harju Elekter Group, UP Invest"
Skeleton Technologies,Series A,5221555,2014-07-31,Yes,"Estonian venture capital, UP Invest","Estonian venture capital, UP Invest"
Skeleton Technologies,Series D,41921756,2022-01-28,Yes,Taavet Hinrikus,"Bengt Wahlqvist, EIT InnoEnergy, Nidoco, Startup Wise Guys, Taavet Hinrikus"
Skeleton Technologies,Series D,48577034,2020-11-03,Yes,,"Adyen, EIT InnoEnergy, FIRSTFLOOR CAPITAL, Harju Elekter Group, MM Grupp"
Skeleton Technologies,Series D,34389649,2021-06-30,Yes,,"Harju Elekter Group, Marubeni, MM Grupp, Startup Wise Guys"
Skeleton Technologies,Grant,61103603,2021-03-11,No,"Federal Ministry for Economic Affairs and Energy (BMWi), Free State of Saxony","Federal Ministry for Economic Affairs and Energy (BMWi), Free State of Saxony"
Skeleton Technologies,Series C,14495986,2016-08-03,Yes,FIRSTFLOOR CAPITAL,"FIRSTFLOOR CAPITAL, Harju Elekter Group, Skeleton Technologies"
Skeleton Technologies,Grant,2835541,2016-04-01,No,EASME,EASME
Skeleton Technologies,Debt Financing,15958499,2017-02-10,No,European Investment Bank,European Investment Bank
Skeleton Technologies,Venture - Series Unknown,2823876,2013-04-01,Yes,,
Stegra,Series B,190207136,2022-08-29,Yes,"AMF, GIC, Schaeffler Group","Altor, AMF, Cristina Stenbeck, Daniel Ek, FAM AB, GIC, IMAS Foundation, Kingspan, Marcegaglia, Schaeffler Group, Swedbank Robur, Vargas Holdings"
Stegra,Series A,105000000,2021-05-24,Yes,,"Altor, Ane Mærsk Mc-Kinney Uggla, Bilstein group, Cristina Stenbeck, Daniel Ek, EIT InnoEnergy, EXOR N.V., FAM AB, IMAS Foundation, Kingspan, Marcegaglia, Mercedes-Benz Group AG, Scania, SMS Group, Stena Metall, Vargas Holdings"
Stegra,Series B,68359575,2022-10-19,Yes,"AMF, GIC, Schaeffler Group","Altor, AMF, GIC, Hitachi Energy, Kinnevik, Kobe Steel, Schaeffler Group"
Stegra,Debt Financing,4568942072,2024-01-22,No,,"BNP Paribas, European Investment Bank, ING Ventures, KfW IPEX Bank, SEK, Societe Generale"
Stegra,Private Equity,1925683591,2023-09-07,Yes,,
Stegra,Private Equity,326353005,2024-01-22,Yes,,"Altor, Andra AP-fonden, GIC, Hy24, Just Climate, Microsoft Climate Innovation Fund, Mubea, Siemens Financial Services, Temasek Holdings"
Stegra,Grant,271960838,2024-01-22,No,European Union,European Union
Stegra,Debt Financing,3459451766,2022-10-24,No,,
Sunfire,Debt Financing,108558892,2024-03-05,No,European Investment Bank,European Investment Bank
